detail_page_url,event_count,status,description_found,image_found,reason
https://ad.doubleclick.net/ddm/clk/626296690;432897382;b;dc_transparent=1;?https://travel.ticketmaster.com/tm-event/17006361D8EBA00D?_uid=53477f82-54f0-4429-b7af-746146806a86&utm_source=FB&utm_medium=TM_ADP_MarcAnthonyFeb24,11,miss,false,false,no usable og/meta tags
https://www.tixr.com/groups/improvasylum/events/house-teams-194529,10,miss,false,false,fetch failed
https://www.rightproperbrewing.com/our-events/weekly-trivia-at-taproom-0729,10,hit,true,false,
https://www.ticketweb.com/event/the-world-famous-harlem-gospel-blue-note-jazz-club-tickets/14777403,10,miss,false,false,no usable og/meta tags
https://idlehandscraftales.com/events/l4tcpjw2jjnpxhz-a5nyp-4nrxd-mpkgp-7m3pp-mzjsa-w5tyj-7a4l4,10,hit,true,false,
https://www.ticketweb.com/event/open-mic-show-tell-the-southgate-house-revival-tickets/14874383,10,miss,false,false,no usable og/meta tags
https://santamonica.harvelles.com/shows/374231,10,miss,false,false,no usable og/meta tags
https://santamonica.harvelles.com/shows/374226,10,miss,false,false,no usable og/meta tags
https://santamonica.harvelles.com/shows/374236,10,miss,false,false,no usable og/meta tags
https://santamonica.harvelles.com/shows/374242,10,miss,false,false,no usable og/meta tags
https://www.broadwaycomedyclub.com/shows/2026-07-25-the-broadway-magic-hour-with-jim-vines-carl-mercurio-200-pm/,9,hit,true,false,
https://www.dockstreetbeer.com/event-listings/quizzo-with-john-philly-quizzo-july-30,9,hit,true,false,
https://www.freddysbar.com/events/the-fun-mic-alexs-comedy-open-mic-every-monday-1-pypse-g6dfk-egep4-23r9h-sts6k-zjlzd-mypgx-7hjhd-nb74x-d6mjw-bngsj-pk9cr-5g2d3-7hebt-hht7n-eag8t-g28xl-89364-hs57y-89sy6-7w2ee-xnray-k8p5p-4f2ta,9,miss,false,false,no usable og/meta tags
https://deeringestate.org/events/ghost-tours/,9,hit,true,true,
https://www.ticketmaster.com/spazmatics-80s-immersive-experience-las-vegas-nevada-07-25-2026/event/17006445DF559FB8,9,miss,false,false,fetch failed
https://sf-eagle.com/events/drag-race-all-stars-watch-party/,9,hit,true,true,
https://sf-eagle.com/events/karaoke-with-dana-10012754/,8,hit,true,true,
https://crafthousepgh.com/name-that-tune-trivia-%e2%88%99-august-5-2026/,8,hit,true,true,
https://www.ticketmaster.com/new-kids-on-the-block-the-las-vegas-nevada-10-02-2026/event/2E006358A8160E21,8,miss,false,false,fetch failed
https://www.ticketmaster.com/siriusxm-presents-an-intimate-evening-with-las-vegas-nevada-09-16-2026/event/170064A59F34CA47,8,miss,false,false,fetch failed
https://www.ticketmaster.com/kelly-clarkson-studio-sessions-the-las-las-vegas-nevada-07-24-2026/event/39006244E38C5573,8,miss,false,false,fetch failed
https://www.ticketmaster.com/scorpions-coming-home-to-las-vegas-las-vegas-nevada-09-17-2026/event/3900644CEE3E6510,8,miss,false,false,fetch failed
https://kungfunecktie.com/event/emo-night-philly-157/kung-fu-necktie-kfn/philadelphia-pennsylvania/,8,hit,true,false,
https://dangerousmanbrewing.com/event/sporcle-pub-quiz/,8,hit,true,true,
https://www.ticketmaster.com/event/Z7r9jZ1A70-j_,7,miss,false,false,fetch failed
https://www.ticketmaster.com/ben-harper-the-innocent-criminals-chicago-illinois-09-29-2026/event/04006441D90E8B7C,7,miss,false,false,fetch failed
https://www.ticketmaster.com/my-morning-jacket-san-francisco-california-10-03-2026/event/1C0064761A40801B,7,miss,false,false,fetch failed
https://crafthousepgh.com/bar-bingo-%e2%88%99-july-28-2026/,7,hit,true,true,
https://www.ticketmaster.com/carin-leon-las-vegas-nevada-09-04-2026/event/170063289EED20DF,7,miss,false,false,fetch failed
https://sf-eagle.com/events/beer-bust-3-34-2/,7,hit,true,true,
https://www.ticketmaster.com/event/Z7r9jZ1A7qx_S,7,miss,false,false,fetch failed
https://dangerousmanbrewing.com/event/the-initials-game-live/,7,hit,true,true,
https://www.biscuitsandblues.com/find-a-show/20260728thewestcoastbluesrevue,6,hit,true,true,
https://www.broadwaycomedyclub.com/shows/2026-07-31-south-asian-comedy-laughing-lassi-700-pm/,6,hit,true,false,
https://artsatthearmory.org/events/west-coast-swing-training-2026-07-27/,6,hit,true,false,
https://gothamcomedyclub.com/events/the-gotham-all-stars-the-vintage-lounge-26akfbv0j,6,miss,false,false,no usable og/meta tags
https://www.triplecbrewing.com/live-music-events/2025/6/23/monday-trivia-with-mindless-minutia-dfl8b-6ktjc-4ggfx-kskhj-6ktbx-67glp-t24kb-86hem-mcahl-kyahs-r3h3e-zpwlx-nfkjx-jy6jr-ga55n-bnk6w-ctllt-p58wm-l4p5c-2kxk9-7zn3h-mc994-phsbz-nfh5x,6,hit,true,true,
https://www.ticketmaster.com/event/Z7r9jZ1A7rb-9,6,miss,false,false,fetch failed
https://www.ticketweb.com/event/dizzy-gillespie-all-star-big-blue-note-jazz-club-tickets/14791843,6,miss,false,false,no usable og/meta tags
