venue_id,name,city,url,status,image_found,description_found,reason
61f7e335-8e88-44d2-a49c-a8a2e460600b,House of Blues Houston,Houston,https://www.ticketmaster.com/house-of-blues-houston-tickets-houston/venue/475902,miss,false,false,"aggregator page, no usable image"
da90b303-55f1-41da-8fed-02b26525ea7b,The Foundry,Philadelphia,https://www.ticketmaster.com/the-foundry-tickets-philadelphia/venue/17019,miss,false,false,"aggregator page, no usable image"
146cf07b-6f5d-4367-aa4a-5c14736ae5c1,Marquis,Denver,https://www.ticketmaster.com/marquis-tickets-denver/venue/246629,miss,false,false,"aggregator page, no usable image"
cdf46e4b-53a0-4239-9c52-c8e9d2b5f062,Brick and Mortar Music Hall,San Francisco,https://www.ticketweb.com/venue/brick-and-mortar-music-hall-san-francisco-ca/216294,hit,true,false,aggregator: image only
5cfd7978-3c0d-4c32-bd72-ecb8559a8374,PH Live at Planet Hollywood,Las Vegas,https://www.ticketmaster.com/ph-live-at-planet-hollywood-tickets-las-vegas/venue/467893,miss,false,false,"aggregator page, no usable image"
6a16fd28-bf96-41f0-be20-1307f0513138,Irving Plaza Powered By Verizon 5G,New York,https://www.ticketmaster.com/irving-plaza-powered-by-verizon-5g-tickets-new-york/venue/47,miss,false,false,"aggregator page, no usable image"
27027622-d7cf-42ed-a9fc-1bc54715aea3,Vinyl,Atlanta,https://www.ticketmaster.com/vinyl-tickets-atlanta/venue/115314,miss,false,false,"aggregator page, no usable image"
6b71bcc7-6e7e-4415-8dcc-426f9a113cb3,The Observatory,Los Angeles,https://www.ticketmaster.com/the-observatory-tickets-santa-ana/venue/73867,miss,false,false,"aggregator page, no usable image"
f2868b20-df5d-490f-8921-c4b2de24a821,Belly Up Tavern,San Diego,,miss,false,false,no website url
defbfe6c-4d2a-45cb-8221-3b2e001effcc,Fontainebleau Las Vegas,Las Vegas,https://www.ticketmaster.com/fontainebleau-las-vegas-tickets-las-vegas/venue/189546,miss,false,false,"aggregator page, no usable image"
5544f9c3-c6e5-4fc9-b67f-30e0cdb839bf,Catalina Jazz Club,Los Angeles,https://www.ticketweb.com/venue/catalina-jazz-club-hollywood-ca/19513,hit,true,false,aggregator: image only
1c31b719-d857-4dc8-bb70-126f0b9175c4,House of Blues Las Vegas,Las Vegas,https://www.ticketmaster.com/house-of-blues-las-vegas-tickets-las-vegas/venue/188737,miss,false,false,"aggregator page, no usable image"
b7dea1e6-ce8e-4f01-af56-ebe9f3e8449c,Conduit,Orlando,https://www.ticketweb.com/venue/conduit-winter-park-fl/26038,hit,true,false,aggregator: image only
8ea792a7-930e-4eda-956d-aa6784c96d9b,Hollywood Bowl,Los Angeles,,miss,false,false,no website url
a49cccea-549b-4d81-96b3-9939eb3b0f1d,Constellation Room,Los Angeles,https://www.ticketmaster.com/constellation-room-tickets-santa-ana/venue/74683,miss,false,false,"aggregator page, no usable image"
0c74df01-bff9-4021-8aaf-2c768aabff73,The Anthem,Washington,https://www.ticketmaster.com/the-anthem-tickets-washington/venue/172624,miss,false,false,"aggregator page, no usable image"
049aec47-c20b-4c77-869c-6fa1135cc92d,Ruby's Elixir,Tampa,https://rubyselixirdtsp.com,miss,false,false,fetch failed
f189e3d5-00a6-4dfb-b717-7a4fc36dfd6a,Uncommon Ground,Chicago,https://uncommonground.com,hit,true,true,
9d7c3a1e-8b1b-444b-9e00-dddc951f7a3d,The Crocodile,Seattle,https://www.ticketweb.com/venue/the-crocodile-seattle-wa/10352,hit,true,false,aggregator: image only
d2dbb29c-3791-427a-8267-a3e0f0afcc27,House of Blues Chicago,Chicago,https://www.ticketmaster.com/house-of-blues-chicago-tickets-chicago/venue/32905,miss,false,false,"aggregator page, no usable image"
a65af609-4945-4d97-9b70-c45790b58313,Reggies Rock Club,Chicago,https://www.ticketmaster.com/reggies-rock-club-tickets-chicago/venue/339102,miss,false,false,"aggregator page, no usable image"
c87cff91-ddde-44b3-8e6f-e056c2f1a7ab,The Pavilion at Toyota Music Factory,Dallas,https://www.ticketmaster.com/the-pavilion-at-toyota-music-factory-tickets-irving/venue/99303,miss,false,false,"aggregator page, no usable image"
96b9f5b4-c3e2-4ff0-8e55-808f2b42a892,Antone's Nightclub,Austin,https://www.ticketmaster.com/antones-nightclub-tickets-austin/venue/476138,miss,false,false,"aggregator page, no usable image"
da51a604-35e2-43be-bf6d-763dd5907962,Penn & Teller Theater at Rio Las Vegas,Las Vegas,https://www.ticketmaster.com/penn-teller-theater-at-rio-las-tickets-las-vegas/venue/467106,miss,false,false,"aggregator page, no usable image"
5bd5f6b4-79ed-47e0-96e7-c032b88cf5b4,The Colosseum at Caesars Palace,Las Vegas,https://www.ticketmaster.com/the-colosseum-at-caesars-palace-tickets-las-vegas/venue/467930,miss,false,false,"aggregator page, no usable image"
a54e14e1-9d2d-4e0e-9701-084bade4af58,Hollywood Palladium,Los Angeles,https://www.ticketmaster.com/hollywood-palladium-tickets-hollywood/venue/73794,miss,false,false,"aggregator page, no usable image"
3339db8b-5375-45c7-b8c4-0c241de0e3d1,Arizona Financial Theatre,Phoenix,https://www.ticketmaster.com/arizona-financial-theatre-tickets-phoenix/venue/204807,miss,false,false,"aggregator page, no usable image"
